                                                                              01 Jul 2023 13:17:30
Civil Air Patrol Use Only
Facility-APRSGT-To-Satellite-DRAGONFLY:  Access Summary Report


APRSGT-To-DRAGONFLY
-------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                      73    10 Jul 2023 03:40:22.203    10 Jul 2023 03:50:04.584           582.381
                      74    10 Jul 2023 17:05:04.095    10 Jul 2023 17:12:13.225           429.129
                      75    10 Jul 2023 18:39:09.862    10 Jul 2023 18:49:50.138           640.276
                      76    10 Jul 2023 20:16:59.139    10 Jul 2023 20:25:37.893           518.753
                      77    10 Jul 2023 21:56:54.959    10 Jul 2023 22:01:22.060           267.101
                      78    10 Jul 2023 23:34:35.895    10 Jul 2023 23:40:08.055           332.160
                      79    11 Jul 2023 01:10:10.676    11 Jul 2023 01:19:43.037           572.361
                      80    11 Jul 2023 02:46:13.698    11 Jul 2023 02:56:43.045           629.348
                      81    11 Jul 2023 04:25:50.464    11 Jul 2023 04:28:23.813           153.348
                      82    11 Jul 2023 17:45:27.829    11 Jul 2023 17:55:53.148           625.319
                      83    11 Jul 2023 19:22:19.560    11 Jul 2023 19:31:59.213           579.653
                      84    11 Jul 2023 21:01:49.879    11 Jul 2023 21:07:33.473           343.595
                      85    11 Jul 2023 22:40:45.351    11 Jul 2023 22:45:03.972           258.621
                      86    12 Jul 2023 00:16:32.268    12 Jul 2023 00:25:01.384           509.116
                      87    12 Jul 2023 01:52:18.140    12 Jul 2023 02:02:58.072           639.932
                      88    12 Jul 2023 03:29:45.124    12 Jul 2023 03:37:18.007           452.883
                      89    12 Jul 2023 16:52:09.996    12 Jul 2023 17:01:42.289           572.293
                      90    12 Jul 2023 18:27:56.176    12 Jul 2023 18:38:17.408           621.232
                      91    12 Jul 2023 20:06:45.196    12 Jul 2023 20:13:53.358           428.162
                      92    12 Jul 2023 21:46:32.104    12 Jul 2023 21:50:17.997           225.893
                      93    12 Jul 2023 23:22:54.609    12 Jul 2023 23:30:06.180           431.571
                      94    13 Jul 2023 00:58:30.808    13 Jul 2023 01:08:53.278           622.471
                      95    13 Jul 2023 02:35:07.444    13 Jul 2023 02:44:36.518           569.074
                      96    13 Jul 2023 15:59:26.621    13 Jul 2023 16:07:06.130           459.508
                      97    13 Jul 2023 17:33:50.615    13 Jul 2023 17:44:30.345           639.729
                      98    13 Jul 2023 19:11:49.508    13 Jul 2023 19:20:15.679           506.170
                      99    13 Jul 2023 20:51:47.276    13 Jul 2023 20:56:03.498           256.221
                     100    13 Jul 2023 22:29:14.690    13 Jul 2023 22:35:01.736           347.045
                     101    14 Jul 2023 00:04:48.834    14 Jul 2023 00:14:30.600           581.767
                     102    14 Jul 2023 01:40:55.844    14 Jul 2023 01:51:19.822           623.977
                     103    14 Jul 2023 15:08:10.708    14 Jul 2023 15:11:10.597           179.889
                     104    14 Jul 2023 16:40:04.780    14 Jul 2023 16:50:35.200           630.420
                     105    14 Jul 2023 18:17:07.244    14 Jul 2023 18:26:37.350           570.106
                     106    14 Jul 2023 19:56:43.564    14 Jul 2023 20:02:12.326           328.762
                     107    14 Jul 2023 21:35:26.642    14 Jul 2023 21:39:56.405           269.763
                     108    14 Jul 2023 23:11:10.067    14 Jul 2023 23:19:51.651           521.584
                     109    15 Jul 2023 00:46:58.408    15 Jul 2023 00:57:38.680           640.273
                     110    15 Jul 2023 02:24:38.516    15 Jul 2023 02:31:39.996           421.481

Global Statistics
-----------------
Min Duration          81    11 Jul 2023 04:25:50.464    11 Jul 2023 04:28:23.813           153.348
Max Duration          75    10 Jul 2023 18:39:09.862    10 Jul 2023 18:49:50.138           640.276
Mean Duration                                                                              476.582
Total Duration                                                                           52424.010
