
SESSION 1
Start Time: 17:26:16 10/10/23
APRSGT>JG6Y0W-11,WIDE1-1:@172621z3250.49N/13101.47E_315/003g000t025gas0.00
Stop Time: 17:26:23 10/10/23, Duration: 00:00:08
  
SESSION 2
Start Time: 17:26:51 10/10/23
APRSGT>JG6Y0W-11,WIDE1-1:@172656z3250.49N/13101.47E_315/000g000t025gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@172701z3250.49N/13101.47E_315/000g000t025gas0.00Temperature increased !
APRSGT>JG6Y0W-11,WIDE1-1:@172706z3250.49N/13101.47E_315/004g000t025gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@172711z3250.49N/13101.47E_315/004g000t025gas0.00Temperature decreased !
APRSGT>JG6Y0W-11,WIDE1-1:@172716z3250.49N/13101.47E_315/002g000t025gas0.00
Stop Time: 17:27:16 10/10/23, Duration: 00:00:25
  
SESSION 3
Start Time: 17:27:37 10/10/23
APRSGT>JG6Y0W-11,WIDE1-1:@172742z3250.49N/13101.47E_090/000g000t025gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@172747z3250.49N/13101.47E_135/000g000t025gas0.00Temperature increased !
APRSGT>JG6Y0W-11,WIDE1-1:@172752z3250.49N/13101.47E_090/003g000t025gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@172757z3250.49N/13101.47E_090/003g000t025gas0.00
Stop Time: 17:28:00 10/10/23, Duration: 00:00:22
  
SESSION 4
Start Time: 17:28:21 10/10/23
Stop Time: 17:28:23 10/10/23, Duration: 00:00:03
  
SESSION 5
Start Time: 03:12:42 11/10/23
APRSGT>JG6Y0W-11,WIDE1-1:@031247z3250.49N/13101.47E_135/000g000t024gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@031252z3250.49N/13101.47E_315/000g000t024gas0.00Temperature increased !
APRSGT>JG6Y0W-11,WIDE1-1:@031257z3250.49N/13101.47E_315/000g000t024gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@031302z3250.49N/13101.47E_315/005g000t024gas0.00Temperature increased !
APRSGT>JG6Y0W-11,WIDE1-1:@031307z3250.49N/13101.47E_315/004g000t024gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@031312z3250.49N/13101.47E_315/004g000t024gas0.00Temperature increased !
Stop Time: 03:13:14 11/10/23, Duration: 00:00:32
  
SESSION 6
Start Time: 09:35:25 14/10/23
APRSGT>JG6Y0W-11,WIDE1-1:@093530z3250.49N/13101.47E_315/000g000t021gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@093535z3250.49N/13101.47E_315/000g000t021gas0.00Temperature increased !
APRSGT>JG6Y0W-11,WIDE1-1:@093540z3250.49N/13101.47E_135/000g000t021gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@093545z3250.49N/13101.47E_135/004g000t021gas0.00Temperature increased !
APRSGT>JG6Y0W-11,WIDE1-1:@093550z3250.49N/13101.47E_135/002g000t021gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@093555z3250.49N/13101.47E_135/000g000t021gas0.00Temperature decreased !
SESSION 7
Start Time: 11:39:53 17/10/23
APRSGT>JG6Y0W-11,WIDE1-1:@113958z3250.49N/13101.47E_000/000g000t025gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@114003z3250.49N/13101.47E_135/000g000t025gas0.00Temperature increased !
APRSGT>JG6Y0W-11,WIDE1-1:@114008z3250.49N/13101.47E_135/004g000t025gas0.00
APRSGT>JG6Y0W-11,WIDE1-1:@114013z3250.49N/13101.47E_135/000g000t025gas0.00Temperature increased !
SESSION 8
Start Time: 11:48:38 17/10/23
APRSGT>JG6Y0W-11,WIDE1-1:@114843z3250.49N/13101.47E_000/000g000t025gas0.00
